"Species","Species_Label","Node","Reach","Critial_XS_Position","Seasonal.Component","Current_Suitability","Lower_Limit","Upper_Limit","Probability_Threshold","Designation","Duration_Days","Timing_Start_WYDay","Timing_End_WYDay","metric","notes"
"Steelhead - Migration (Prolonged)","Steelhead Migration (Smolts)","GLEN","LAR 5 - Glendale Narrows","Main Channel","Winter Baseflow","suitable","23","",NA,"Future",120,62,182,"Wet_BFL_Mag_10",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Burst)","LA8","LAR 4 - Above Rio Hondo","Main Channel","Summer Baseflow","suitable","47","3356",NA,"Future",90,183,273,"DS_Mag_50",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Burst)","LA8","LAR 4 - Above Rio Hondo","Main Channel","Winter Baseflow","suitable","47","3356",NA,"Future",120,62,182,"Wet_BFL_Mag_10",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Smolts)","LA8","LAR 4 - Above Rio Hondo","Main Channel","Summer Baseflow","suitable","47","",NA,"Future",90,183,273,"DS_Mag_50",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Smolts)","LA8","LAR 4 - Above Rio Hondo","Main Channel","Winter Baseflow","suitable","47","",NA,"Future",120,62,182,"Wet_BFL_Mag_10",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Burst)","LA11","LAR 5 - Glendale Narrows","Main Channel","Summer Baseflow","suitable","35","40889",NA,"Future",90,183,273,"DS_Mag_50",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Burst)","LA11","LAR 5 - Glendale Narrows","Main Channel","Winter Baseflow","suitable","35","40889",NA,"Future",120,62,182,"Wet_BFL_Mag_10",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Smolts)","LA11","LAR 5 - Glendale Narrows","Main Channel","Summer Baseflow","suitable","25","",NA,"Future",90,183,273,"DS_Mag_50",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Smolts)","LA11","LAR 5 - Glendale Narrows","Main Channel","Winter Baseflow","suitable","25","",NA,"Future",120,62,182,"Wet_BFL_Mag_10",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Burst)","F57C","LAR 5 - Glendale Narrows","Main Channel","Summer Baseflow","suitable","26","10556",NA,"Future",90,183,273,"DS_Mag_50",""
"Steelhead - Migration (Prolonged)","Steelhead Migration (Burst)","F57C","LAR 5 - Glendale Narrows","Main Channel","Winter Baseflow","suitable","26","10556",NA,"Future",120,62,182,"Wet_BFL_Mag_10",""
